{ 1, -0.0f, 0.0f, -12.0f },
{ 1, -2.0f, 0.0f, -12.0f },
{ 1, 2.0f, 0.0f, -12.0f },
{ 1, 4.0f, 0.0f, -12.0f },
{ 1, -4.0f, 0.0f, -12.0f },
{ 1, 4.0f, 0.0f, -14.0f },
{ 1, 4.0f, 0.0f, -16.0f },
{ 1, 4.0f, 0.0f, -18.0f },
{ 1, -4.0f, 0.0f, -14.0f },
{ 1, -4.0f, 0.0f, -16.0f },
{ 1, -4.0f, 0.0f, -18.0f },
{ 1, 12.0f, 0.0f, -20.0f },
{ 1, 4.0f, 0.0f, -20.0f },
{ 1, 10.0f, 0.0f, -20.0f },
{ 1, 12.0f, 0.0f, -18.0f },
{ 1, 12.0f, 0.0f, -16.0f },
{ 1, 12.0f, 0.0f, -14.0f },
{ 1, 12.0f, 0.0f, -12.0f },
{ 1, 14.0f, 0.0f, -12.0f },
{ 1, 16.0f, 0.0f, -12.0f },
{ 1, 18.0f, 0.0f, -12.0f },
{ 1, 20.0f, 0.0f, -12.0f },
{ 1, 20.0f, 0.0f, -10.0f },
{ 1, 20.0f, 0.0f, -8.0f },
{ 1, 20.0f, 0.0f, -6.0f },
{ 1, 20.0f, 0.0f, -4.0f },
{ 1, 8.0f, 0.0f, -20.0f },
{ 1, 6.0f, 0.0f, -20.0f },
{ 1, -4.0f, 0.0f, -20.0f },
{ 1, -6.0f, 0.0f, -20.0f },
{ 1, -8.0f, 0.0f, -20.0f },
{ 1, -10.0f, 0.0f, -20.0f },
{ 1, -12.0f, 0.0f, -20.0f },
{ 1, -14.0f, 0.0f, -20.0f },
{ 1, -16.0f, 0.0f, -20.0f },
{ 1, -18.0f, 0.0f, -20.0f },
{ 1, -20.0f, 0.0f, -20.0f },
{ 1, -22.0f, 0.0f, -20.0f },
{ 1, -24.0f, 0.0f, -20.0f },
{ 1, -26.0f, 0.0f, -20.0f },
{ 1, -28.0f, 0.0f, -20.0f },
{ 1, -30.0f, 0.0f, -20.0f },
{ 1, -32.0f, 0.0f, -20.0f },
{ 1, -34.0f, 0.0f, -20.0f },
{ 1, 22.0f, 0.0f, -4.0f },
{ 1, 24.0f, 0.0f, -4.0f },
{ 1, 26.0f, 0.0f, -4.0f },
{ 1, 28.0f, 0.0f, -4.0f },
{ 1, 30.0f, 0.0f, -4.0f },
{ 1, 32.0f, 0.0f, -4.0f },
{ 1, 34.0f, 0.0f, -4.0f },
{ 1, 36.0f, 0.0f, -4.0f },
{ 1, 38.0f, 0.0f, -4.0f },
{ 1, 40.0f, 0.0f, -4.0f },
{ 1, 42.0f, 0.0f, -4.0f },
{ 1, 44.0f, 0.0f, -4.0f },
{ 1, 46.0f, 0.0f, -4.0f },
{ 1, 48.0f, 0.0f, -4.0f },
{ 1, 22.0f, 0.0f, 6.0f },
{ 1, 22.0f, 0.0f, 8.0f },
{ 1, 22.0f, 0.0f, 10.0f },
{ 1, 22.0f, 0.0f, 12.0f },
